citations_fetched,id,published,publisher,source,categories,pdf_url,doi,title,abstract,all_categories,authors,citations
True,http://arxiv.org/abs/1705.07538v2,2017-05-22T02:28:19Z,,arXiv,cs.LG,http://arxiv.org/pdf/1705.07538v2.pdf,1705.07538v2,Infrastructure for Usable Machine Learning: The Stanford DAWN Project,"Despite incredible recent advances in machine learning, building machine learning applications remains prohibitively time-consuming and expensive for all but the best-trained, best-funded engineering organizations. This expense comes not from a need for new and improved statistical models but instead from a lack of systems and tools for supporting end-to-end machine learning application development, from data preparation and labeling to productionization and monitoring. In this document, we outline opportunities for infrastructure supporting usable, end-to-end machine learning applications in the context of the nascent DAWN (Data Analytics for What's Next) project at Stanford.","cs.LG, cs.DB, stat.ML","Peter Bailis, Kunle Olukotun, Christopher Re, Matei Zaharia",[]
True,http://arxiv.org/abs/1808.00033v3,2018-07-31T19:14:39Z,,arXiv,cs.LG,http://arxiv.org/pdf/1808.00033v3.pdf,1808.00033v3,Techniques for Interpretable Machine Learning,"Interpretable machine learning tackles the important problem that humans cannot understand the behaviors of complex machine learning models and how these models arrive at a particular decision. Although many approaches have been proposed, a comprehensive understanding of the achievements and challenges is still lacking. We provide a survey covering existing techniques to increase the interpretability of machine learning models. We also discuss crucial issues that the community should consider in future work such as designing user-friendly explanations and developing comprehensive evaluation metrics to further push forward the area of interpretable machine learning.","cs.LG, cs.AI, stat.ML","Mengnan Du, Ninghao Liu, Xia Hu",[]
True,http://arxiv.org/abs/1911.08587v1,2019-11-17T17:36:41Z,,arXiv,quant-ph,http://arxiv.org/pdf/1911.08587v1.pdf,1911.08587v1,Solving machine learning optimization problems using quantum computers,Classical optimization algorithms in machine learning often take a long time to compute when applied to a multi-dimensional problem and require a huge amount of CPU and GPU resource. Quantum parallelism has a potential to speed up machine learning algorithms. We describe a generic mathematical model to leverage quantum parallelism to speed-up machine learning algorithms. We also apply quantum machine learning and quantum parallelism applied to a $3$-dimensional image that vary with time.,"quant-ph, cs.LG, stat.ML","Venkat R. Dasari, Mee Seong Im, Lubjana Beshaj",[]
True,http://arxiv.org/abs/2008.08080v2,2020-08-18T11:21:24Z,Oxford University Press (OUP),arXiv,stat.CO,http://arxiv.org/pdf/2008.08080v2.pdf,10.1093/bioinformatics/btab039,mlr3proba: An R Package for Machine Learning in Survival Analysis,"As machine learning has become increasingly popular over the last few decades, so too has the number of machine learning interfaces for implementing these models. Whilst many R libraries exist for machine learning, very few offer extended support for survival analysis. This is problematic considering its importance in fields like medicine, bioinformatics, economics, engineering, and more. mlr3proba provides a comprehensive machine learning interface for survival analysis and connects with mlr3's general model tuning and benchmarking facilities to provide a systematic infrastructure for survival modeling and evaluation.","stat.CO, cs.LG, stat.ML","Raphael Sonabend, Franz J. Király, Andreas Bender, Bernd Bischl, Michel Lang","['10.1111/j.2517-6161.1972.tb00899.x', '10.5281/zenodo.4457577', '10.18637/jss.v040.i08', '10.1002/(sici)1097-0258(19990915/30)18:17/18<2529::aid-sim274>3.0.co;2-5', '10.1001/jama.1982.03320430047030', '10.1111/j.0006-341x.2000.00337.x', '10.1214/08-aoas169', '10.21105/joss.01903', '10.1002/sim.1203', '10.1111/j.1541-0420.2010.01459.x', '10.1002/sim.4154', '10.1016/j.artmed.2011.06.006', '10.1002/1097-0258(20001230)19:24<3401::aid-sim554>3.0.co;2-2']"
True,http://arxiv.org/abs/2007.01977v1,2020-07-04T00:55:41Z,,arXiv,cs.LG,http://arxiv.org/pdf/2007.01977v1.pdf,2007.01977v1,Lale: Consistent Automated Machine Learning,"Automated machine learning makes it easier for data scientists to develop pipelines by searching over possible choices for hyperparameters, algorithms, and even pipeline topologies. Unfortunately, the syntax for automated machine learning tools is inconsistent with manual machine learning, with each other, and with error checks. Furthermore, few tools support advanced features such as topology search or higher-order operators. This paper introduces Lale, a library of high-level Python interfaces that simplifies and unifies automated machine learning in a consistent way.","cs.LG, cs.AI","Guillaume Baudart, Martin Hirzel, Kiran Kate, Parikshit Ram, Avraham Shinnar",[]
True,http://arxiv.org/abs/2007.07981v1,2020-07-15T20:26:49Z,,arXiv,cs.LG,http://arxiv.org/pdf/2007.07981v1.pdf,2007.07981v1,Differential Replication in Machine Learning,"When deployed in the wild, machine learning models are usually confronted with data and requirements that constantly vary, either because of changes in the generating distribution or because external constraints change the environment where the model operates. To survive in such an ecosystem, machine learning models need to adapt to new conditions by evolving over time. The idea of model adaptability has been studied from different perspectives. In this paper, we propose a solution based on reusing the knowledge acquired by the already deployed machine learning models and leveraging it to train future generations. This is the idea behind differential replication of machine learning models.","cs.LG, stat.ML, cs.LG, stat.ML","Irene Unceta, Jordi Nin, Oriol Pujol",[]
True,http://arxiv.org/abs/2108.08712v1,2021-08-19T14:22:17Z,,arXiv,cs.LG,http://arxiv.org/pdf/2108.08712v1.pdf,2108.08712v1,Teaching Uncertainty Quantification in Machine Learning through Use   Cases,"Uncertainty in machine learning is not generally taught as general knowledge in Machine Learning course curricula. In this paper we propose a short curriculum for a course about uncertainty in machine learning, and complement the course with a selection of use cases, aimed to trigger discussion and let students play with the concepts of uncertainty in a programming setting. Our use cases cover the concept of output uncertainty, Bayesian neural networks and weight distributions, sources of uncertainty, and out of distribution detection. We expect that this curriculum and set of use cases motivates the community to adopt these important concepts into courses for safety in AI.","cs.LG, stat.ML",Matias Valdenegro-Toro,[]
True,http://arxiv.org/abs/2212.12303v1,2022-12-23T13:08:59Z,,arXiv,cs.LG,http://arxiv.org/pdf/2212.12303v1.pdf,2212.12303v1,Introduction to Machine Learning for Physicians: A Survival Guide for   Data Deluge,"Many modern research fields increasingly rely on collecting and analysing massive, often unstructured, and unwieldy datasets. Consequently, there is growing interest in machine learning and artificial intelligence applications that can harness this `data deluge'. This broad nontechnical overview provides a gentle introduction to machine learning with a specific focus on medical and biological applications. We explain the common types of machine learning algorithms and typical tasks that can be solved, illustrating the basics with concrete examples from healthcare. Lastly, we provide an outlook on open challenges, limitations, and potential impacts of machine-learning-powered medicine.","cs.LG, stat.ML","Ričards Marcinkevičs, Ece Ozkan, Julia E. Vogt",[]
True,http://arxiv.org/abs/2305.15410v1,2023-04-28T09:29:10Z,,arXiv,cond-mat.mtrl-sci,http://arxiv.org/pdf/2305.15410v1.pdf,2305.15410v1,Machine learning-assisted close-set X-ray diffraction phase   identification of transition metals,"Machine learning has been applied to the problem of X-ray diffraction phase prediction with promising results. In this paper, we describe a method for using machine learning to predict crystal structure phases from X-ray diffraction data of transition metals and their oxides. We evaluate the performance of our method and compare the variety of its settings. Our results demonstrate that the proposed machine learning framework achieves competitive performance. This demonstrates the potential for machine learning to significantly impact the field of X-ray diffraction and crystal structure determination. Open-source implementation: https://github.com/maxnygma/NeuralXRD.","cond-mat.mtrl-sci, cs.AI, cs.LG","Maksim Zhdanov, Andrey Zhdanov",[]
True,http://arxiv.org/abs/2306.14624v2,2023-06-26T11:56:00Z,,arXiv,cs.LG,http://arxiv.org/pdf/2306.14624v2.pdf,2306.14624v2,Insights From Insurance for Fair Machine Learning,"We argue that insurance can act as an analogon for the social situatedness of machine learning systems, hence allowing machine learning scholars to take insights from the rich and interdisciplinary insurance literature. Tracing the interaction of uncertainty, fairness and responsibility in insurance provides a fresh perspective on fairness in machine learning. We link insurance fairness conceptions to their machine learning relatives, and use this bridge to problematize fairness as calibration. In this process, we bring to the forefront two themes that have been largely overlooked in the machine learning literature: responsibility and aggregate-individual tensions.","cs.LG, cs.CY","Christian Fröhlich, Robert C. Williamson",[]
True,http://arxiv.org/abs/2407.19890v1,2024-07-07T16:30:46Z,,arXiv,quant-ph,http://arxiv.org/pdf/2407.19890v1.pdf,2407.19890v1,Quantum Dynamics of Machine Learning,"The quantum dynamic equation (QDE) of machine learning is obtained based on Schr\""odinger equation and potential energy equivalence relationship. Through Wick rotation, the relationship between quantum dynamics and thermodynamics is also established in this paper. This equation reformulates the iterative process of machine learning into a time-dependent partial differential equation with a clear mathematical structure, offering a theoretical framework for investigating machine learning iterations through quantum and mathematical theories. Within this framework, the fundamental iterative process, the diffusion model, and the Softmax and Sigmoid functions are examined, validating the proposed quantum dynamics equations. This approach not only presents a rigorous theoretical foundation for machine learning but also holds promise for supporting the implementation of machine learning algorithms on quantum computers.","quant-ph, cs.LG","Peng Wang, Maimaitiniyazi Maimaitiabudula",[]
True,http://arxiv.org/abs/2102.05639v1,2021-02-10T18:53:51Z,,arXiv,cs.LG,http://arxiv.org/pdf/2102.05639v1.pdf,2102.05639v1,Energy-Harvesting Distributed Machine Learning,"This paper provides a first study of utilizing energy harvesting for sustainable machine learning in distributed networks. We consider a distributed learning setup in which a machine learning model is trained over a large number of devices that can harvest energy from the ambient environment, and develop a practical learning framework with theoretical convergence guarantees. We demonstrate through numerical experiments that the proposed framework can significantly outperform energy-agnostic benchmarks. Our framework is scalable, requires only local estimation of the energy statistics, and can be applied to a wide range of distributed training settings, including machine learning in wireless networks, edge computing, and mobile internet of things.","cs.LG, cs.IT, math.IT, stat.ML","Basak Guler, Aylin Yener",[]
True,http://arxiv.org/abs/1909.09248v1,2019-09-19T22:12:30Z,,arXiv,cs.LG,http://arxiv.org/pdf/1909.09248v1.pdf,1909.09248v1,Representation Learning for Electronic Health Records,"Information in electronic health records (EHR), such as clinical narratives, examination reports, lab measurements, demographics, and other patient encounter entries, can be transformed into appropriate data representations that can be used for downstream clinical machine learning tasks using representation learning. Learning better representations is critical to improve the performance of downstream tasks. Due to the advances in machine learning, we now can learn better and meaningful representations from EHR through disentangling the underlying factors inside data and distilling large amounts of information and knowledge from heterogeneous EHR sources. In this chapter, we first introduce the background of learning representations and reasons why we need good EHR representations in machine learning for medicine and healthcare in Section 1. Next, we explain the commonly-used machine learning and evaluation methods for representation learning using a deep learning approach in Section 2. Following that, we review recent related studies of learning patient state representation from EHR for clinical machine learning tasks in Section 3. Finally, in Section 4 we discuss more techniques, studies, and challenges for learning natural language representations when free texts, such as clinical notes, examination reports, or biomedical literature are used. We also discuss challenges and opportunities in these rapidly growing research fields.","cs.LG, stat.ML","Wei-Hung Weng, Peter Szolovits",[]
True,http://arxiv.org/abs/1810.03548v1,2018-10-08T16:07:11Z,,arXiv,cs.LG,http://arxiv.org/pdf/1810.03548v1.pdf,1810.03548v1,Meta-Learning: A Survey,"Meta-learning, or learning to learn, is the science of systematically observing how different machine learning approaches perform on a wide range of learning tasks, and then learning from this experience, or meta-data, to learn new tasks much faster than otherwise possible. Not only does this dramatically speed up and improve the design of machine learning pipelines or neural architectures, it also allows us to replace hand-engineered algorithms with novel approaches learned in a data-driven way. In this chapter, we provide an overview of the state of the art in this fascinating and continuously evolving field.","cs.LG, stat.ML",Joaquin Vanschoren,[]
True,http://arxiv.org/abs/1711.06552v1,2017-11-15T16:52:48Z,,arXiv,cs.LG,http://arxiv.org/pdf/1711.06552v1.pdf,1711.06552v1,Introduction to intelligent computing unit 1,This brief note highlights some basic concepts required toward understanding the evolution of machine learning and deep learning models. The note starts with an overview of artificial intelligence and its relationship to biological neuron that ultimately led to the evolution of todays intelligent models.,"cs.LG, stat.ML",Isa Inuwa-Dutse,[]
True,http://arxiv.org/abs/2004.05366v2,2020-04-11T11:00:26Z,,arXiv,cs.LG,http://arxiv.org/pdf/2004.05366v2.pdf,2004.05366v2,In-Machine-Learning Database: Reimagining Deep Learning with Old-School   SQL,"In-database machine learning has been very popular, almost being a cliche. However, can we do it the other way around? In this work, we say ""yes"" by applying plain old SQL to deep learning, in a sense implementing deep learning algorithms with SQL. Most deep learning frameworks, as well as generic machine learning ones, share a de facto standard of multidimensional array operations, underneath fancier infrastructure such as automatic differentiation. As SQL tables can be regarded as generalisations of (multi-dimensional) arrays, we have found a way to express common deep learning operations in SQL, encouraging a different way of thinking and thus potentially novel models. In particular, one of the latest trend in deep learning was the introduction of sparsity in the name of graph convolutional networks, whereas we take sparsity almost for granted in the database world. As both databases and machine learning involve transformation of datasets, we hope this work can inspire further works utilizing the large body of existing wisdom, algorithms and technologies in the database field to advance the state of the art in machine learning, rather than merely integerating machine learning into databases.","cs.LG, cs.DB, stat.ML",Len Du,[]
True,http://arxiv.org/abs/1807.06722v2,2018-07-18T00:50:18Z,,arXiv,cs.LG,http://arxiv.org/pdf/1807.06722v2.pdf,1807.06722v2,Machine Learning Interpretability: A Science rather than a tool,"The term ""interpretability"" is oftenly used by machine learning researchers each with their own intuitive understanding of it. There is no universal well agreed upon definition of interpretability in machine learning. As any type of science discipline is mainly driven by the set of formulated questions rather than by different tools in that discipline, e.g. astrophysics is the discipline that learns the composition of stars, not as the discipline that use the spectroscopes. Similarly, we propose that machine learning interpretability should be a discipline that answers specific questions related to interpretability. These questions can be of statistical, causal and counterfactual nature. Therefore, there is a need to look into the interpretability problem of machine learning in the context of questions that need to be addressed rather than different tools. We discuss about a hypothetical interpretability framework driven by a question based scientific approach rather than some specific machine learning model. Using a question based notion of interpretability, we can step towards understanding the science of machine learning rather than its engineering. This notion will also help us understanding any specific problem more in depth rather than relying solely on machine learning methods.","cs.LG, stat.ML","Abdul Karim, Avinash Mishra, MA Hakim Newton, Abdul Sattar",[]
True,http://arxiv.org/abs/2103.00742v4,2021-03-01T04:20:33Z,International Joint Conferences on Artificial Intelligence Organization,arXiv,cs.LG,http://arxiv.org/pdf/2103.00742v4.pdf,10.24963/ijcai.2021/637,Automated Machine Learning on Graphs: A Survey,"Machine learning on graphs has been extensively studied in both academic and industry. However, as the literature on graph learning booms with a vast number of emerging methods and techniques, it becomes increasingly difficult to manually design the optimal machine learning algorithm for different graph-related tasks. To solve this critical challenge, automated machine learning (AutoML) on graphs which combines the strength of graph machine learning and AutoML together, is gaining attention from the research community. Therefore, we comprehensively survey AutoML on graphs in this paper, primarily focusing on hyper-parameter optimization (HPO) and neural architecture search (NAS) for graph machine learning. We further overview libraries related to automated graph machine learning and in-depth discuss AutoGL, the first dedicated open-source library for AutoML on graphs. In the end, we share our insights on future research directions for automated graph machine learning. This paper is the first systematic and comprehensive review of automated machine learning on graphs to the best of our knowledge.",cs.LG,"Ziwei Zhang, Xin Wang, Wenwu Zhu",[]
True,http://arxiv.org/abs/2201.06921v1,2021-12-13T07:20:50Z,,arXiv,cs.CY,http://arxiv.org/pdf/2201.06921v1.pdf,2201.06921v1,Can Machine Learning be Moral?,"The ethics of Machine Learning has become an unavoidable topic in the AI Community. The deployment of machine learning systems in multiple social contexts has resulted in a closer ethical scrutiny of the design, development, and application of these systems. The AI/ML community has come to terms with the imperative to think about the ethical implications of machine learning, not only as a product but also as a practice (Birhane, 2021; Shen et al. 2021). The critical question that is troubling many debates is what can constitute an ethically accountable machine learning system. In this paper we explore possibilities for ethical evaluation of machine learning methodologies. We scrutinize techniques, methods and technical practices in machine learning from a relational ethics perspective, taking into consideration how machine learning systems are part of the world and how they relate to different forms of agency. Taking a page from Phil Agre (1997) we use the notion of a critical technical practice as a means of analysis of machine learning approaches. Our radical proposal is that supervised learning appears to be the only machine learning method that is ethically defensible.","cs.CY, cs.HC","Miguel Sicart, Irina Shklovski, Mirabelle Jones",[]
True,http://arxiv.org/abs/1812.01410v1,2018-12-04T13:50:11Z,,arXiv,cs.LG,http://arxiv.org/pdf/1812.01410v1.pdf,1812.01410v1,Compressive Classification (Machine Learning without learning),"Compressive learning is a framework where (so far unsupervised) learning tasks use not the entire dataset but a compressed summary (sketch) of it. We propose a compressive learning classification method, and a novel sketch function for images.","cs.LG, cs.CV, stat.ML","Vincent Schellekens, Laurent Jacques",[]
True,http://arxiv.org/abs/1707.03184v1,2017-07-11T09:15:46Z,,arXiv,cs.AI,http://arxiv.org/pdf/1707.03184v1.pdf,1707.03184v1,A Survey on Resilient Machine Learning,"Machine learning based system are increasingly being used for sensitive tasks such as security surveillance, guiding autonomous vehicle, taking investment decisions, detecting and blocking network intrusion and malware etc. However, recent research has shown that machine learning models are venerable to attacks by adversaries at all phases of machine learning (eg, training data collection, training, operation). All model classes of machine learning systems can be misled by providing carefully crafted inputs making them wrongly classify inputs. Maliciously created input samples can affect the learning process of a ML system by either slowing down the learning process, or affecting the performance of the learned mode, or causing the system make error(s) only in attacker's planned scenario. Because of these developments, understanding security of machine learning algorithms and systems is emerging as an important research area among computer security and machine learning researchers and practitioners. We present a survey of this emerging area in machine learning.","cs.AI, cs.CR, cs.LG","Atul Kumar, Sameep Mehta",[]
True,http://arxiv.org/abs/1611.03969v1,2016-11-12T08:18:38Z,,arXiv,stat.CO,http://arxiv.org/pdf/1611.03969v1.pdf,1611.03969v1,An Introduction to MM Algorithms for Machine Learning and Statistical,"MM (majorization--minimization) algorithms are an increasingly popular tool for solving optimization problems in machine learning and statistical estimation. This article introduces the MM algorithm framework in general and via three popular example applications: Gaussian mixture regressions, multinomial logistic regressions, and support vector machines. Specific algorithms for the three examples are derived and numerical demonstrations are presented. Theoretical and practical aspects of MM algorithm design are discussed.","stat.CO, cs.LG, stat.ML",Hien D. Nguyen,[]
True,http://arxiv.org/abs/1810.11383v2,2018-10-25T02:53:14Z,,arXiv,cs.LG,http://arxiv.org/pdf/1810.11383v2.pdf,1810.11383v2,Some Requests for Machine Learning Research from the East African Tech   Scene,"Based on 46 in-depth interviews with scientists, engineers, and CEOs, this document presents a list of concrete machine research problems, progress on which would directly benefit tech ventures in East Africa.","cs.LG, cs.CY, stat.ML",Milan Cvitkovic,[]
True,http://arxiv.org/abs/2104.05314v2,2021-04-12T09:54:12Z,Springer Science and Business Media LLC,arXiv,cs.AI,http://arxiv.org/pdf/2104.05314v2.pdf,10.1007/s12525-021-00475-2,Machine learning and deep learning,"Today, intelligent systems that offer artificial intelligence capabilities often rely on machine learning. Machine learning describes the capacity of systems to learn from problem-specific training data to automate the process of analytical model building and solve associated tasks. Deep learning is a machine learning concept based on artificial neural networks. For many applications, deep learning models outperform shallow machine learning models and traditional data analysis approaches. In this article, we summarize the fundamentals of machine learning and deep learning to generate a broader understanding of the methodical underpinning of current intelligent systems. In particular, we provide a conceptual distinction between relevant terms and concepts, explain the process of automated analytical model building through machine learning and deep learning, and discuss the challenges that arise when implementing such intelligent systems in the field of electronic markets and networked business. These naturally go beyond technological aspects and highlight issues in human-machine interaction and artificial intelligence servitization.",cs.AI,"Christian Janiesch, Patrick Zschech, Kai Heinrich","['10.1109/access.2018.2870052', '10.1016/j.ijhm.2019.01.003', '10.24963/ijcai.2019/932', '10.1016/j.matcom.2008.01.028', '10.1109/cvpr.2005.177', '10.1016/0167-8655(94)90052-3', '10.1109/cvpr.2018.00175', '10.1007/s12525-019-00384-5', '10.1145/2523813', '10.1016/j.cirpj.2015.05.004', '10.1002/rob.21918', '10.1002/9780470939376.ch25', '10.1016/j.dss.2021.113494', '10.1109/arso.2017.8025197', '10.1016/j.procs.2018.10.340', '10.1126/science.aaa8415', '10.1007/s10462-007-9052-3', '10.1007/s12525-019-00351-0', '10.1038/nature14539', '10.3390/proceedings47010009', '10.1007/978-981-15-5573-2', '10.1023/b:visi.0000029664.99615.94', '10.1038/s41746-017-0013-1', '10.1016/j.artint.2018.07.007', '10.1109/access.2019.2905015', '10.1109/icmla.2016.0172', '10.25300/misq/2020/14458', '10.1007/s10994-013-5340-0', '10.1145/3234150', '10.1016/j.procs.2018.10.326', '10.1038/s42256-019-0048-x', '10.1016/0306-4573(88)90021-0', '10.1016/j.neunet.2014.09.003', '10.1017/s0140525x00005756', '10.1007/s12525-019-00393-4', '10.2307/23042796', '10.1016/j.jbusres.2020.09.068', '10.1126/science.aar6404', '10.1109/cvpr.2001.990517', '10.1109/tsc.2020.3000900', '10.22215/timreview/1282', '10.1007/bf00116900', '10.18653/v1/d18-1310', '10.1109/mci.2018.2840738', '10.1038/s41524-018-0081-z']"
True,http://arxiv.org/abs/1405.1304v1,2014-05-03T14:26:42Z,Seventh Sense Research Group Journals,arXiv,cs.CE,http://arxiv.org/pdf/1405.1304v1.pdf,10.14445/22312803/ijctt-v10p137,Application of Machine Learning Techniques in Aquaculture,"In this paper we present applications of different machine learning algorithms in aquaculture. Machine learning algorithms learn models from historical data. In aquaculture historical data are obtained from farm practices, yields, and environmental data sources. Associations between these different variables can be obtained by applying machine learning algorithms to historical data. In this paper we present applications of different machine learning algorithms in aquaculture applications.","cs.CE, cs.LG","Akhlaqur Rahman, Sumaira Tasnim",[]
True,http://arxiv.org/abs/1612.04251v1,2016-12-13T16:00:51Z,,arXiv,cs.DC,http://arxiv.org/pdf/1612.04251v1.pdf,1612.04251v1,TF.Learn: TensorFlow's High-level Module for Distributed Machine   Learning,"TF.Learn is a high-level Python module for distributed machine learning inside TensorFlow. It provides an easy-to-use Scikit-learn style interface to simplify the process of creating, configuring, training, evaluating, and experimenting a machine learning model. TF.Learn integrates a wide range of state-of-art machine learning algorithms built on top of TensorFlow's low level APIs for small to large-scale supervised and unsupervised problems. This module focuses on bringing machine learning to non-specialists using a general-purpose high-level language as well as researchers who want to implement, benchmark, and compare their new methods in a structured environment. Emphasis is put on ease of use, performance, documentation, and API consistency.","cs.DC, cs.LG",Yuan Tang,[]
True,http://arxiv.org/abs/1910.02544v1,2019-10-06T22:53:28Z,,arXiv,cs.LG,http://arxiv.org/pdf/1910.02544v1.pdf,1910.02544v1,Using Deep Learning and Machine Learning to Detect Epileptic Seizure   with Electroencephalography (EEG) Data,"The prediction of epileptic seizure has always been extremely challenging in medical domain. However, as the development of computer technology, the application of machine learning introduced new ideas for seizure forecasting. Applying machine learning model onto the predication of epileptic seizure could help us obtain a better result and there have been plenty of scientists who have been doing such works so that there are sufficient medical data provided for researchers to do training of machine learning models.","cs.LG, eess.SP, stat.ML","Haotian Liu, Lin Xi, Ying Zhao, Zhixiang Li",[]
True,http://arxiv.org/abs/2103.11249v1,2021-03-20T21:43:24Z,,arXiv,cs.SE,http://arxiv.org/pdf/2103.11249v1.pdf,2103.11249v1,SELM: Software Engineering of Machine Learning Models,"One of the pillars of any machine learning model is its concepts. Using software engineering, we can engineer these concepts and then develop and expand them. In this article, we present a SELM framework for Software Engineering of machine Learning Models. We then evaluate this framework through a case study. Using the SELM framework, we can improve a machine learning process efficiency and provide more accuracy in learning with less processing hardware resources and a smaller training dataset. This issue highlights the importance of an interdisciplinary approach to machine learning. Therefore, in this article, we have provided interdisciplinary teams' proposals for machine learning.","cs.SE, cs.AI","Nafiseh Jafari, Mohammad Reza Besharati, Mohammad Izadi, Maryam Hourali",[]
True,http://arxiv.org/abs/2001.11489v1,2019-11-18T14:10:17Z,Academy and Industry Research Collaboration Center (AIRCC),arXiv,cs.CR,http://arxiv.org/pdf/2001.11489v1.pdf,10.5121/ijnsa.2019.11501,Machine Learning in Network Security Using KNIME Analytics,"Machine learning has more and more effect on our every day's life. This field keeps growing and expanding into new areas. Machine learning is based on the implementation of artificial intelligence that gives systems the capability to automatically learn and enhance from experiments without being explicitly programmed. Machine Learning algorithms apply mathematical equations to analyze datasets and predict values based on the dataset. In the field of cybersecurity, machine learning algorithms can be utilized to train and analyze the Intrusion Detection Systems (IDSs) on security-related datasets. In this paper, we tested different machine learning algorithms to analyze NSL-KDD dataset using KNIME analytics.",cs.CR,Munther Abualkibash,[]
True,http://arxiv.org/abs/1908.00868v2,2019-08-02T14:08:17Z,IOP Publishing,arXiv,cs.LG,http://arxiv.org/pdf/1908.00868v2.pdf,10.1088/1751-8121/ab956e,Machine Learning as Ecology,"Machine learning methods have had spectacular success on numerous problems. Here we show that a prominent class of learning algorithms - including Support Vector Machines (SVMs) -- have a natural interpretation in terms of ecological dynamics. We use these ideas to design new online SVM algorithms that exploit ecological invasions, and benchmark performance using the MNIST dataset. Our work provides a new ecological lens through which we can view statistical learning and opens the possibility of designing ecosystems for machine learning.   Supplemental code is found at https://github.com/owenhowell20/EcoSVM.","cs.LG, cond-mat.stat-mech, stat.ML","Owen Howell, Cui Wenping, Robert Marsland III, Pankaj Mehta","['10.1007/bf00994018', '10.1016/0040-5809(70)90039-0', '10.1016/0040-5809(90)90025-q', '10.1103/physreve.99.052111', '10.1086/282505', '10.1086/282505', '10.2307/1934144', '10.1023/b:mach.0000008084.60811.49', '10.1609/aaai.v33i01.33013991', '10.1017/cbo9780511804441', '10.1111/j.1600-0706.2012.20830.x', '10.1016/s0169-5347(02)02495-3', '10.1073/pnas.87.24.9610', '10.1109/nnsp.2003.1318049', '10.1109/icpr.2018.8545819', '10.1038/s41467-018-04593-y', '10.1109/5.726791', '10.1016/j.jmb.2015.10.019']"
